Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2020-03-06,11.4,10.4,11.5,10.3,0.03,0
2020-03-06,11.4,10.4,11.5,10.3,0.03,-9.57
2020-03-05,10,11.5,12,10,0.01,0.88
2020-03-04,11.1,11.4,11.9,10.4,0.02,-9.52
2020-03-03,12,12.6,12.8,11,0.01,-1.56
2020-03-02,12.8,12.8,12.8,10.9,0,0
2020-02-28,13.1,12.8,14.1,10.6,0.02,-8.57
2020-02-27,13.5,14,14,13.5,0,0.72
2020-02-26,14,13.9,14.7,13.2,0.01,-0.71
2020-02-25,13.9,14,14,13.7,0,2.19
2020-02-24,14.1,13.7,14.1,13,0.02,-6.16
2020-02-21,14.6,14.6,14.6,14.6,0.01,0
2020-02-20,14.5,14.6,15.4,13.5,0.06,-5.81
2020-02-19,16,15.5,16,14,0.02,-3.13
2020-02-18,15.1,16,16,15.1,0.03,5.96
2020-02-17,15.1,15.1,15.1,14.3,0.02,0
2020-02-14,14.6,15.1,15.3,14.2,0.02,3.42
2020-02-13,14.6,14.6,14.6,14.6,0,-0.68
2020-02-12,15.3,14.7,15.5,14.6,0.01,-5.16
2020-02-11,15.5,15.5,15.5,14.1,0.02,0
2020-02-10,15.6,15.5,15.6,15,0.02,-0.64
2020-02-07,14.7,15.6,15.8,14.2,0.02,6.12
2020-02-06,14.5,14.7,15,13.6,0.06,-6.37
2020-02-05,16.8,15.7,16.8,15.7,0.01,-4.85
2020-02-04,17,16.5,17.6,15,0.07,4.43
2020-02-03,16.3,15.8,17.6,15.8,0,-14.13
2020-01-31,19,18.4,19,16.7,0.03,10.18
2020-01-30,18.9,16.7,18.9,15.7,0.05,-12.57
2020-01-29,19.1,19.1,20,16.8,0.04,4.37
2020-01-28,15.9,18.3,18.6,15.9,0.05,8.93
2020-01-27,15.6,16.8,17.2,15.2,0.03,6.33
2020-01-24,15.2,15.8,15.9,15.1,0.02,3.95
2020-01-23,14.1,15.2,15.2,14,0.01,4.11
2020-01-22,16.9,14.6,16.9,13.6,0.15,-16.09
2020-01-21,19.5,17.4,19.5,15.6,0.15,-13.86
2020-01-20,20.4,20.2,20.4,20,0,-0.98
2020-01-17,19.6,20.4,20.8,18.4,0.03,-1.92
2020-01-16,19.7,20.8,21,19.7,0.01,0
2020-01-15,20.8,20.8,20.8,19.6,0,0
2020-01-14,21.2,20.8,21.2,19,0.04,-7.96
2020-01-13,23,22.6,23,20.4,0.01,-1.74
2020-01-10,21,23,23.4,21,0.02,9.52
2020-01-09,20.4,21,21.2,20,0.01,2.94
2020-01-08,22,20.4,22,20,0.09,-15
2020-01-07,25,24,26.8,21.2,0.02,-3.23
2020-01-03,23.2,24.8,24.8,23.2,0.01,11.71
2020-01-02,27,22.2,27.2,21.6,0.13,-18.38
2019-12-31,27.2,27.2,27.2,27.2,0,0
2019-12-30,27.4,27.2,27.4,25.8,0,-0.73
2019-12-27,27.6,27.4,27.6,24.2,0,-2.14
2019-12-24,28,28,28,28,0,0
2019-12-23,28.4,28,28.4,24.2,0.04,-2.1
2019-12-20,28.6,28.6,28.6,28.6,0,0
2019-12-19,28.6,28.6,28.6,28.6,0,-1.38
2019-12-18,27.4,29,29,27.4,0.01,4.32
2019-12-17,27.8,27.8,29,26,0.02,0
2019-12-16,27.2,27.8,27.8,26.2,0.01,2.21
2019-12-13,28.6,27.2,28.6,27.2,0.01,-2.86
2019-12-12,28,28,28,28,0.01,-2.1
2019-12-11,28,28.6,29,28,0.03,2.88
2019-12-10,25,27.8,28.6,25,0.02,8.59
2019-12-09,25.6,25.6,25.6,25.2,0.03,-9.22
2019-12-06,28.2,28.2,28.2,28.2,0,4.44
2019-12-05,27.8,27,27.8,25.6,0.03,-3.57
2019-12-04,28,28,28,28,0,2.19
2019-12-03,28,27.4,28,26,0.03,-4.2
2019-12-02,28,28.6,28.6,28,0.01,-2.05
2019-11-29,29.2,29.2,29.2,29.2,0,0
2019-11-28,28.6,29.2,29.4,28.2,0.01,-0.68
2019-11-27,29.6,29.4,29.6,28.6,0,-1.34
2019-11-26,29.8,29.8,30.2,29,0.08,0.68
2019-11-25,28.4,29.6,29.6,28.4,0.05,4.23
2019-11-22,28,28.4,28.4,27.6,0.01,1.43
2019-11-21,28,28,29,27.4,0.01,-5.41
2019-11-20,29.6,29.6,29.6,28.4,0.01,0
2019-11-19,28,29.6,29.6,27.2,0.04,-1.33
2019-11-18,27,30,30,25.4,0.01,-1.96
2019-11-15,30,30.6,30.6,30,0.07,6.99
2019-11-14,27.4,28.6,28.8,27.4,0.16,10
2019-11-13,26,26,26,25,0.01,0
2019-11-12,26,26,26,26,0,-2.99
2019-11-08,27,26.8,27,26,0.01,-0.74
2019-11-07,27,27,27,26,0.01,-0.74
2019-11-06,27,27.2,27.4,26.8,0.02,-2.16
2019-11-05,27.8,27.8,27.8,26.8,0.02,3.73
2019-11-04,24.8,26.8,26.8,24.6,0.04,7.2
2019-10-31,24.2,25,25.6,24.2,0,3.31
2019-10-30,21.8,24.2,24.6,21.8,0.02,-2.42
2019-10-29,22.2,24.8,24.8,22.2,0.01,-4.62
2019-10-28,26,26,26,26,0,-1.52
2019-10-25,26.8,26.4,26.8,24,0,0.76
2019-10-24,24,26.2,27,24,0.05,13.91
2019-10-23,23,23,23,22.8,0.02,2.68
2019-10-22,23.2,22.4,23.2,20.8,0.01,-0.88
2019-10-21,22.8,22.6,22.8,22.4,0.01,3.67
2019-10-18,23,21.8,23.2,21.6,0.01,-0.91
2019-10-17,22.8,22,23,21.4,0.01,13.4
2019-10-16,18.9,19.4,22,17.8,0.06,2.65
2019-10-15,17.7,18.9,18.9,17.7,0.01,-1.05
2019-10-14,17.6,19.1,19.1,17.6,0,0.53
2019-10-11,18.5,19,19,17.6,0.02,2.7
2019-10-10,17.6,18.5,19.8,16.5,0.05,5.11
2019-10-09,20.8,17.6,21.8,16,0.19,-15.38
2019-10-08,23,20.8,23,18.4,0.02,-9.57
2019-10-07,17,23,23.2,17,0.05,18.56
2019-10-04,20.8,19.4,21.8,16.8,0.06,-7.62
2019-10-03,20,21,21.6,20,0,16.67
2019-10-02,16.8,18,23,16.8,0.04,-8.16
2019-10-01,22,19.6,23.8,17.6,0.15,-18.33
2019-09-30,24,24,24.6,20.2,0.02,20
2019-09-27,18.5,20,24,18.5,0.06,8.11
